,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,salary
36,P.J. Tucker,MIA ,36,24,14,10,27.5,6.6,2.6,5.2,50.0,1.0,2.4,43.1,0.4,0.5,81.8,1.7,3.8,5.5,1.6,0.7,0.6,0.3,2.4,17.6,2,0,0.3,7000000.0
37,Pat Connaughton,MIL ,28,24,15,9,28.8,12.3,4.5,9.0,49.3,2.8,6.5,42.0,0.7,0.9,72.7,0.9,4.0,4.9,1.5,0.9,1.0,0.3,1.5,23.4,0,0,0.3,5333334.0
38,R.J. Hampton,ORL ,20,24,5,19,18.5,7.3,2.6,6.4,40.5,1.0,2.6,39.7,1.1,2.0,56.3,0.3,2.8,3.1,2.4,1.5,0.5,0.2,1.4,15.1,0,0,-6.5,2303040.0
39,Reggie Jackson,LAC ,31,24,12,12,33.3,17.3,6.5,16.5,39.6,2.8,8.3,33.5,1.4,1.8,79.1,0.6,2.8,3.5,3.9,2.0,0.7,0.1,1.9,27.6,1,0,2.0,10384500.0
40,Ricky Rubio,CLE ,31,24,13,11,29.2,13.6,4.5,12.5,36.3,1.9,5.5,35.1,2.6,3.1,83.8,0.4,3.6,4.0,6.1,2.8,1.2,0.2,2.2,28.9,3,0,4.3,17800000.0
41,Robert Covington,POR ,30,24,11,13,26.4,6.8,2.5,6.1,40.8,1.7,4.6,36.4,0.1,0.1,100.0,0.5,3.9,4.4,1.2,1.1,1.0,1.0,2.1,18.5,0,0,-1.0,12975471.0
42,Russell Westbrook,LAL ,33,24,12,12,36.2,20.3,7.5,16.9,44.6,1.4,4.3,32.0,3.8,5.5,68.4,1.3,6.6,8.0,8.6,4.6,1.3,0.2,3.2,42.5,11,5,-2.1,44211146.0
43,Svi Mykhailiuk,TOR ,24,24,11,13,18.7,7.1,2.6,6.0,43.4,1.1,3.4,33.3,0.8,0.9,90.9,0.7,2.0,2.6,1.1,0.7,0.8,0.1,1.3,13.9,0,0,-1.4,1729217.0
44,T.J. McConnell,IND ,29,24,9,15,24.2,8.4,3.8,7.5,50.3,0.3,1.0,28.0,0.5,0.6,80.0,0.8,2.5,3.3,4.8,1.2,1.0,0.4,1.8,22.6,1,0,-2.4,7500000.0
45,Trae Young,ATL ,23,24,12,12,34.1,26.2,9.2,20.1,45.9,2.7,7.0,38.9,5.0,5.7,89.0,0.7,3.2,3.8,9.4,3.9,0.9,0.1,1.8,43.9,12,0,2.8,8326471.0
46,Wendell Carter Jr.,ORL ,22,24,5,19,28.8,13.1,5.2,10.0,51.7,1.4,3.9,35.1,1.4,2.0,69.4,2.2,7.6,9.8,2.2,1.3,0.7,0.7,2.6,30.8,11,0,-3.0,6920027.0
47,Zach LaVine,CHI ,26,24,16,8,34.8,25.6,9.3,19.2,48.6,2.8,7.5,38.0,4.1,4.8,86.8,0.4,5.0,5.4,3.9,2.5,0.5,0.4,1.5,38.0,0,0,1.6,19500000.0
48,Aaron Holiday,WAS ,25,23,13,10,17.3,5.6,2.3,5.2,43.3,0.6,1.6,36.1,0.5,0.7,80.0,0.2,1.4,1.6,1.9,1.1,0.5,0.3,1.5,11.7,0,0,-1.0,3980551.0
49,Alec Burks,NYK ,30,23,11,12,24.2,11.3,3.5,8.3,41.7,2.1,4.7,44.0,2.3,2.8,81.5,0.4,3.5,3.9,1.9,0.7,1.2,0.3,2.0,22.7,0,0,1.2,9536000.0
50,Alex Caruso,CHI ,27,23,16,7,28.6,8.5,2.8,6.4,44.2,1.0,3.0,33.3,1.8,2.1,85.7,1.0,2.8,3.7,4.1,1.5,2.2,0.4,2.7,25.4,1,0,5.0,8650651.0
51,Andrew Wiggins,GSW ,26,23,19,4,30.4,18.3,6.8,14.0,48.6,1.9,5.0,38.3,2.7,3.7,72.9,1.2,3.3,4.5,1.6,1.7,0.8,0.6,1.6,28.4,0,0,6.5,31579390.0
52,Anthony Davis,LAL ,28,23,11,12,35.7,24.4,9.7,18.5,52.3,0.4,2.1,18.8,4.6,6.4,72.1,3.0,7.0,10.0,3.1,2.0,1.3,2.2,2.3,49.6,11,0,-3.3,35361360.0
53,Anthony Edwards,MIN ,20,23,11,12,36.4,22.0,8.1,19.0,42.8,3.0,8.7,34.2,2.8,3.6,78.0,1.4,4.9,6.3,3.6,3.4,1.6,0.7,2.3,38.3,3,0,2.8,10245480.0
54,Ayo Dosunmu,CHI ,21,23,15,8,16.1,5.8,2.4,4.9,48.7,0.7,1.7,41.0,0.3,0.7,53.3,0.5,1.5,2.0,0.8,0.7,0.4,0.2,1.4,10.5,0,0,-1.0,925258.0
55,Bojan Bogdanovic,UTA ,32,23,16,7,30.2,16.8,5.6,12.2,46.1,2.5,6.2,40.8,3.1,3.3,92.2,0.8,3.2,4.0,1.9,1.5,0.5,0.0,1.4,24.5,0,0,6.7,18700000.0
56,Cameron Johnson,PHX ,25,23,19,4,23.1,9.3,3.3,7.7,42.4,2.0,4.8,40.5,0.9,1.2,71.4,0.3,3.0,3.3,1.3,0.7,0.7,0.3,1.3,17.5,0,0,2.2,4437000.0
57,Chris Duarte,IND ,24,23,9,14,29.8,13.1,5.2,12.5,41.7,1.9,5.5,34.9,0.8,1.2,66.7,0.4,3.6,4.0,2.0,1.8,1.0,0.1,1.9,22.5,0,0,1.4,3749400.0
58,Chris Paul,PHX ,36,23,19,4,32.3,14.3,5.0,10.5,47.9,1.0,3.0,33.8,3.2,3.8,84.1,0.3,3.7,4.0,10.1,2.4,2.0,0.3,2.0,38.8,11,0,4.4,30000000.0
59,Christian Wood,HOU ,26,23,7,16,31.7,16.5,6.2,13.4,46.4,1.7,4.6,36.8,2.3,4.1,57.4,1.9,9.3,11.2,2.3,1.8,0.5,1.1,2.3,36.3,12,0,-5.6,13666667.0
60,Cody Martin,CHA ,26,23,14,9,24.9,8.2,3.0,6.1,48.2,1.0,2.1,47.9,1.3,1.7,74.4,1.3,3.0,4.2,2.3,0.4,1.3,0.5,1.7,21.9,0,0,1.4,1782621.0
61,Cody Zeller,POR ,29,23,11,12,13.1,5.1,1.8,3.0,59.4,0.0,0.2,0.0,1.6,2.0,76.6,1.7,2.7,4.3,0.8,0.7,0.3,0.2,2.1,12.4,0,0,-1.5,1669178.0
62,Dennis Schroder,BOS ,28,23,12,11,33.3,17.9,6.5,14.5,44.6,1.7,4.7,35.8,3.2,3.6,90.2,0.7,3.0,3.7,4.9,2.7,1.0,0.0,2.3,30.0,0,0,2.1,5890000.0
63,Desmond Bane,MEM ,23,23,13,10,28.7,15.9,6.1,12.9,47.5,2.6,6.4,40.1,1.1,1.2,89.3,0.6,3.7,4.3,2.0,1.6,0.8,0.4,2.4,26.1,0,0,1.3,2033160.0
64,Devonte' Graham,NOP ,26,23,6,17,30.9,13.7,4.7,12.4,37.5,2.7,7.9,34.6,1.7,2.1,79.2,0.6,1.8,2.4,4.4,1.8,1.2,0.2,1.5,25.6,0,0,-1.3,11000000.0
65,Evan Fournier,NYK ,29,23,11,12,28.9,13.3,4.8,11.6,41.6,2.7,6.7,39.4,1.0,1.3,76.7,0.5,2.3,2.8,1.7,1.3,1.0,0.2,1.7,21.5,0,0,-3.2,17000000.0
66,Fred VanVleet,TOR ,27,23,11,12,38.1,19.8,7.1,16.0,44.2,3.1,8.0,39.1,2.5,2.9,86.6,0.7,4.2,5.0,6.1,3.2,1.5,0.6,2.7,38.0,2,0,2.4,19675926.0
67,Georges Niang,PHI ,28,23,12,11,24.9,11.3,4.0,9.3,43.5,2.1,5.6,38.0,1.1,1.2,92.9,0.3,2.5,2.7,1.7,0.8,0.7,0.3,2.7,19.3,0,0,2.3,3300000.0
68,Grayson Allen,MIL ,26,23,14,9,29.0,13.8,4.7,10.3,45.6,3.1,7.3,42.6,1.3,1.4,87.9,0.6,3.3,3.8,1.4,0.7,0.7,0.3,1.7,22.5,0,0,5.4,4054695.0
69,Herbert Jones,NOP ,23,23,7,16,26.4,6.4,2.7,5.8,45.5,0.3,0.9,33.3,0.8,1.0,79.2,1.3,1.9,3.2,1.7,1.1,1.5,0.8,3.1,18.4,0,0,0.0,1700000.0
70,Immanuel Quickley,NYK ,22,23,11,12,20.8,9.4,3.1,8.0,38.8,1.7,4.8,35.5,1.5,1.7,92.1,0.5,1.7,2.2,2.4,1.0,0.6,0.0,1.9,16.4,0,0,3.9,2210640.0
71,Isaiah Hartenstein,LAC ,23,23,12,11,15.7,7.4,3.1,4.8,64.9,0.1,0.1,66.7,1.0,1.8,58.5,1.9,3.0,4.9,1.5,1.0,0.8,1.1,2.3,20.4,1,0,2.0,1669178.0
72,JaVale McGee,PHX ,33,23,19,4,15.6,9.9,4.3,6.5,66.4,0.0,0.0,0.0,1.3,2.0,65.2,2.3,4.7,7.0,0.6,1.7,0.3,0.9,2.5,21.0,3,0,3.5,5000000.0
73,Jae Crowder,PHX ,31,23,19,4,27.8,8.8,3.0,7.8,37.8,1.8,5.3,33.3,1.1,1.4,78.8,0.4,4.3,4.7,1.4,0.8,1.3,0.4,2.2,21.0,0,0,5.3,9720900.0
74,Jae'Sean Tate,HOU ,26,23,7,16,28.2,12.4,4.9,9.8,50.2,0.7,2.7,27.4,1.9,2.4,78.2,2.1,4.5,6.6,2.7,2.0,0.8,0.7,3.3,26.9,4,0,-4.6,1517981.0
75,James Harden,BKN ,32,23,16,7,35.7,20.6,5.9,14.6,40.3,2.5,7.3,34.7,6.3,7.2,88.5,1.0,6.9,7.9,9.5,4.8,1.5,0.7,2.4,46.0,14,4,2.6,44310840.0
76,Jaren Jackson Jr.,MEM ,22,23,13,10,26.7,15.8,5.4,12.7,42.6,2.3,6.1,37.1,2.8,3.3,84.2,1.1,4.4,5.6,1.0,1.4,0.8,2.0,3.4,31.0,0,0,4.0,9180560.0
77,Javonte Green,CHI ,28,23,15,8,20.6,5.4,2.1,4.2,49.5,0.4,1.1,38.5,0.8,1.0,75.0,1.5,2.7,4.3,0.7,0.7,0.8,0.3,2.0,14.4,0,0,1.5,1669178.0
78,Jevon Carter,BKN ,26,23,16,7,12.8,2.7,0.9,3.2,28.4,0.8,2.5,31.0,0.1,0.2,75.0,0.2,1.3,1.5,1.1,0.3,0.3,0.3,1.3,7.9,0,0,-0.1,3650000.0
79,Joe Ingles,UTA ,34,23,16,7,24.6,7.9,2.8,6.1,45.4,2.0,4.9,40.7,0.3,0.4,88.9,0.5,2.5,3.0,3.1,1.1,0.5,0.1,1.7,17.1,0,0,4.7,13036364.0
80,Jordan Clarkson,UTA ,29,23,16,7,24.8,14.8,5.3,14.2,37.0,2.6,8.9,29.4,1.7,2.0,82.6,0.7,2.4,3.1,2.0,1.3,0.7,0.2,1.7,22.9,0,0,6.3,12420000.0
81,Jordan Poole,GSW ,22,23,19,4,30.2,18.2,6.6,14.3,46.0,2.8,8.0,35.3,2.2,2.4,91.1,0.3,2.7,3.0,3.4,2.6,1.0,0.2,3.0,28.1,0,0,5.3,2161440.0
82,Julius Randle,NYK ,27,23,11,12,35.4,20.1,7.3,16.9,43.4,1.7,5.3,32.2,3.7,5.0,74.6,1.9,8.1,10.0,5.3,3.3,0.7,0.7,2.8,40.8,12,0,-3.4,21780000.0
83,Justin Holiday,IND ,32,23,9,14,28.1,9.9,3.6,9.0,39.8,2.4,6.7,35.7,0.3,0.5,72.7,0.3,2.6,2.8,1.7,0.9,0.5,0.3,2.1,17.3,0,0,1.3,6006420.0
84,Kevin Huerter,ATL ,23,23,11,12,26.5,10.7,4.3,8.7,48.8,1.7,4.4,39.6,0.5,0.6,84.6,0.3,3.0,3.3,2.3,1.2,0.3,0.2,1.8,18.7,0,0,3.2,4253357.0
85,Kevon Looney,GSW ,25,23,19,4,18.0,5.1,2.1,4.2,51.0,0.0,0.0,0.0,0.9,1.6,54.1,2.4,4.0,6.4,1.1,0.7,0.5,0.7,2.4,17.5,1,0,1.9,5178572.0
86,Kira Lewis Jr.,NOP ,20,23,6,17,14.4,5.9,2.5,6.2,40.1,0.6,2.5,22.8,0.4,0.5,81.8,0.3,1.3,1.7,2.0,1.1,0.4,0.0,0.7,11.2,0,0,-4.6,3822240.0
87,Malik Beasley,MIN ,25,23,11,12,25.6,10.6,3.7,10.6,34.6,2.6,7.9,32.6,0.7,1.0,72.7,0.3,2.7,3.0,1.4,0.7,0.7,0.2,1.2,18.1,0,0,-3.7,14491964.0
88,Marcus Smart,BOS ,27,23,13,10,34.4,11.3,4.0,9.9,39.9,1.5,4.9,30.4,2.0,2.5,77.6,0.5,3.3,3.8,5.5,1.9,2.1,0.3,2.3,29.4,0,0,4.1,14339285.0
89,Mikal Bridges,PHX ,25,23,19,4,34.6,12.4,5.0,9.3,54.0,1.3,3.2,40.5,1.0,1.2,85.2,0.7,3.1,3.8,1.8,0.8,1.5,0.6,2.2,25.2,0,0,7.5,5557725.0
90,Mo Bamba,ORL ,23,23,5,18,29.8,10.9,4.3,9.4,46.1,1.4,4.1,33.7,0.8,1.1,72.0,2.3,6.8,9.1,1.8,1.4,0.9,2.2,2.8,32.4,9,0,-6.3,7568743.0
91,Nemanja Bjelica,GSW ,33,23,19,4,14.3,6.3,2.3,5.0,45.7,0.9,2.3,37.0,0.9,1.1,76.9,0.9,3.0,3.9,1.5,1.1,0.7,0.3,1.3,15.4,1,0,5.5,1669178.0
92,Obi Toppin,NYK ,23,23,11,12,15.5,8.1,3.1,6.0,52.6,0.3,1.6,18.9,1.5,2.0,76.1,1.1,2.6,3.7,1.0,1.0,0.4,0.7,1.6,16.2,0,0,4.0,5105160.0
93,Patty Mills,BKN ,33,23,16,7,28.4,12.7,4.5,9.7,46.4,3.1,6.6,47.4,0.6,0.6,92.9,0.3,1.4,1.7,2.4,0.9,0.6,0.2,1.3,19.9,0,0,7.0,5890000.0
94,Paul George,LAC ,31,23,12,11,35.8,25.1,9.2,21.9,41.9,2.8,8.6,32.3,4.0,4.5,89.3,0.4,6.8,7.3,5.5,4.3,1.8,0.4,2.6,44.3,6,0,0.8,39344900.0
95,Raul Neto,WAS ,29,23,13,10,19.5,7.6,3.0,6.5,47.0,0.5,1.7,28.2,1.0,1.5,68.6,0.2,1.8,2.0,2.4,1.2,0.7,0.0,1.7,14.7,0,0,0.3,1669178.0
96,Rudy Gobert,UTA ,29,23,16,7,31.9,14.9,5.3,7.3,73.1,0.0,0.0,0.0,4.3,6.3,67.6,3.0,11.7,14.7,1.0,2.0,1.0,2.3,2.6,41.6,17,0,7.3,35344828.0
97,Steven Adams,MEM ,28,23,13,10,24.4,6.7,2.5,4.9,50.9,0.0,0.0,0.0,1.8,2.7,67.2,3.7,4.6,8.2,2.7,1.5,0.8,0.7,1.7,23.9,2,0,1.1,17073171.0
98,Terance Mann,LAC ,25,23,11,12,27.6,9.6,3.5,7.8,45.3,1.0,2.9,34.3,1.6,2.0,78.3,1.5,3.6,5.0,2.4,1.1,0.7,0.1,2.3,20.3,2,0,1.5,1782621.0
99,Terrence Ross,ORL ,30,23,5,18,24.7,10.0,3.5,9.0,38.8,1.3,4.5,29.1,1.7,2.2,80.0,0.2,1.8,2.0,2.0,1.5,0.5,0.2,1.2,16.1,0,0,-10.5,12500000.0
100,Tyrese Maxey,PHI ,21,23,12,11,35.4,17.2,6.4,13.8,46.5,1.1,3.1,36.1,3.2,3.6,89.2,0.4,3.4,3.8,4.9,1.2,0.7,0.6,2.4,32.0,0,0,1.1,2602920.0
101,Tyus Jones,MEM ,25,23,13,10,17.9,6.7,2.6,5.4,47.6,0.8,2.0,41.3,0.7,0.8,88.9,0.2,2.3,2.5,3.8,0.7,0.8,0.1,0.4,17.5,0,0,0.2,8376286.0
102,Aaron Gordon,DEN ,26,22,11,11,31.7,13.6,5.3,10.1,52.0,1.0,2.8,35.5,2.1,2.8,74.2,1.8,4.1,6.0,2.3,1.5,0.6,0.8,2.1,26.9,2,0,4.6,16409091.0
103,Aleksej Pokusevski,OKC ,19,22,6,16,14.7,4.6,2.0,5.6,34.7,0.5,2.5,18.5,0.2,0.4,62.5,1.0,3.0,4.0,1.3,1.2,0.4,0.5,1.2,12.7,0,0,-2.3,3113160.0
104,Alperen Sengun,HOU ,19,22,7,15,18.0,8.6,2.9,5.9,48.8,0.5,1.2,37.0,2.5,3.5,70.1,1.4,3.1,4.5,2.6,1.8,1.1,0.6,3.0,21.4,1,0,-3.1,3214680.0
105,Andre Drummond,PHI ,28,22,11,11,21.4,6.5,2.6,5.5,47.9,0.0,0.0,0.0,1.2,2.1,55.3,3.4,7.2,10.5,2.0,1.8,1.0,1.1,2.6,26.7,4,0,-0.4,1669178.0
106,Anfernee Simons,POR ,22,22,11,11,23.0,12.0,4.5,9.9,45.9,2.0,5.4,38.1,0.8,0.9,94.7,0.5,2.1,2.6,2.2,1.1,0.5,0.2,1.6,19.2,0,0,0.6,3938818.0
107,Chris Boucher,TOR ,28,22,11,11,13.7,6.3,2.4,6.0,39.7,0.5,2.5,18.5,1.1,1.6,68.6,1.4,2.6,4.0,0.3,0.5,0.5,0.8,1.4,14.8,1,0,-0.4,7020000.0
108,Corey Kispert,WAS ,22,22,12,10,11.8,3.5,1.3,3.3,38.9,0.4,2.0,20.5,0.5,0.6,78.6,0.4,1.4,1.8,0.5,0.3,0.2,0.1,0.4,7.0,0,0,2.5,3383640.0
109,Cory Joseph,DET ,30,22,4,18,21.5,6.5,2.2,5.2,42.6,0.5,1.8,30.8,1.5,1.9,82.9,0.3,1.5,1.8,3.5,1.4,0.8,0.2,1.5,15.7,0,0,-3.2,4910000.0
110,Darius Bazley,OKC ,21,22,6,16,27.3,8.5,3.2,9.1,34.8,1.0,3.6,27.5,1.1,1.8,62.5,1.0,5.5,6.5,1.4,1.5,0.7,1.1,0.8,22.3,1,0,-7.9,2513040.0
111,Darius Garland,CLE ,21,22,12,10,34.6,19.7,7.4,15.5,47.4,2.8,7.1,39.1,2.2,2.5,87.3,0.5,2.4,2.9,7.2,4.0,1.3,0.1,1.9,34.1,6,0,5.4,7040880.0
112,DeAndre' Bembry,BKN ,27,22,15,7,20.4,5.9,2.5,4.5,56.6,0.4,1.0,42.9,0.4,0.9,47.4,0.8,2.6,3.5,1.2,0.7,1.0,0.5,2.2,15.5,0,0,1.0,1669178.0
113,Delon Wright,ATL ,29,22,12,10,13.9,3.0,1.0,2.7,38.3,0.3,0.9,36.8,0.6,0.8,76.5,0.8,2.0,2.8,2.0,0.5,0.7,0.1,0.5,11.5,0,0,0.4,8526316.0
114,Donovan Mitchell,UTA ,25,22,15,7,32.6,24.2,9.0,20.2,44.6,3.1,9.2,33.7,3.1,3.5,88.5,0.9,3.2,4.1,5.1,3.0,1.7,0.2,2.5,39.6,0,0,7.8,28103500.0
115,Dorian Finney-Smith,DAL ,28,22,11,11,31.2,9.1,3.4,7.8,43.0,1.8,4.9,37.4,0.6,1.0,56.5,1.7,2.6,4.4,1.5,0.9,1.5,0.5,2.3,21.8,0,0,-2.4,4000000.0
116,Draymond Green,GSW ,31,22,18,4,30.2,8.2,3.3,6.0,55.7,0.3,1.0,31.8,1.3,2.1,59.6,1.2,6.8,8.0,7.8,3.1,1.3,1.0,2.6,33.3,2,0,6.8,24026712.0
117,Dwight Powell,DAL ,30,22,11,11,19.8,6.0,2.3,4.0,58.0,0.3,0.9,36.8,1.1,1.6,66.7,2.0,2.5,4.5,1.2,0.7,0.5,0.6,2.5,15.9,0,0,-4.4,11080125.0
118,Frank Jackson,DET ,23,22,4,18,21.4,9.6,3.3,8.5,39.2,1.6,5.5,30.0,1.4,1.6,83.3,0.2,1.1,1.3,0.8,0.8,0.5,0.2,1.4,13.9,0,0,-3.6,3000000.0
119,Furkan Korkmaz,PHI ,24,22,11,11,23.4,9.2,3.3,8.7,38.2,1.7,5.1,32.7,0.9,1.1,79.2,0.3,2.5,2.8,2.5,1.0,0.8,0.1,0.9,18.1,0,0,-0.3,4629630.0
121,Gary Trent Jr.,TOR ,22,22,11,11,34.2,16.4,6.0,14.5,41.5,2.6,7.1,36.3,1.8,1.9,92.9,0.5,2.8,3.3,1.8,0.9,2.0,0.4,2.1,29.2,0,0,-0.3,16000000.0
122,George Hill,MIL ,35,22,14,8,27.3,7.7,2.8,6.3,44.2,1.0,3.0,32.8,1.2,1.3,92.9,0.9,2.7,3.6,2.5,1.0,0.8,0.1,1.8,17.7,0,0,7.6,4000000.0
123,Hassan Whiteside,UTA ,32,22,15,7,15.3,6.7,2.7,4.6,58.4,0.0,0.0,0.0,1.4,2.0,69.8,2.0,4.4,6.4,0.3,1.0,0.2,1.3,3.0,18.3,2,0,3.0,1669178.0
124,Jalen McDaniels,CHA ,23,22,12,10,15.1,5.5,1.9,3.6,52.5,0.9,2.0,45.5,0.7,1.1,64.0,0.6,2.7,3.3,1.0,0.6,0.4,0.4,1.7,12.4,0,0,1.7,1782621.0
125,Jarred Vanderbilt,MIN ,22,22,10,12,22.7,5.8,2.4,4.4,53.6,0.0,0.3,0.0,1.1,1.3,82.8,3.1,5.1,8.2,1.2,1.1,1.3,0.8,3.0,22.8,3,0,3.2,4050000.0
126,Jeff Green,DEN ,35,22,11,11,24.0,9.6,3.3,7.1,46.8,0.8,2.6,31.6,2.2,2.7,80.0,0.4,2.3,2.7,1.1,1.0,0.3,0.5,2.0,16.0,0,0,-2.0,4500000.0
127,Jeremiah Robinson-Earl,OKC ,21,22,6,16,22.1,7.0,2.7,6.4,42.6,1.1,3.1,34.8,0.5,0.8,64.7,1.7,4.0,5.7,0.9,0.9,0.6,0.3,1.5,17.1,2,0,-6.3,2000000.0
128,Juan Toscano-Anderson,GSW ,28,22,19,3,16.6,5.3,2.1,4.0,54.0,0.4,1.4,29.0,0.6,0.9,70.0,0.5,2.3,2.9,2.3,1.0,0.7,0.4,1.5,14.4,0,0,4.1,1701593.0
129,Karl-Anthony Towns,MIN ,26,22,11,11,34.3,24.0,8.5,16.8,50.8,2.6,5.9,44.2,4.3,5.2,81.7,2.9,6.2,9.0,3.1,3.5,1.1,1.0,3.6,42.5,11,0,2.7,31650600.0
