,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,salary
130,Kenyon Martin Jr.,HOU ,20,22,7,15,15.5,6.9,2.9,5.3,55.2,0.4,1.4,29.0,0.7,1.0,65.2,0.6,2.5,3.1,0.9,0.5,0.4,0.5,1.1,14.1,0,0,0.5,1517981.0
131,Kevin Durant,BKN ,33,22,15,7,36.0,28.6,10.4,19.5,53.3,1.8,4.6,38.2,6.1,7.0,87.0,0.5,7.3,7.7,5.5,3.0,0.6,0.7,1.6,47.1,8,1,4.1,42018900.0
132,Kyle Lowry,MIA ,35,22,13,9,33.7,12.8,4.5,10.6,41.9,2.0,6.4,31.2,1.9,2.1,87.2,0.5,4.1,4.6,7.6,3.0,1.0,0.3,2.8,30.8,4,1,2.0,26894128.0
133,LaMarcus Aldridge,BKN ,36,22,15,7,23.6,13.8,6.0,10.5,57.0,0.5,1.3,35.7,1.5,1.8,80.0,1.5,4.4,5.9,0.9,0.6,0.3,1.1,1.6,25.9,1,0,3.5,1669178.0
134,Landry Shamet,PHX ,24,22,18,4,19.5,7.6,2.5,6.4,38.6,1.9,4.6,40.6,0.9,1.0,82.6,0.2,2.2,2.5,1.6,0.5,0.3,0.1,1.1,13.6,0,0,1.4,3768342.0
135,Monte Morris,DEN ,26,22,11,11,29.6,11.8,5.1,10.8,47.5,1.2,3.8,32.1,0.3,0.5,60.0,0.3,2.3,2.6,4.2,1.3,0.7,0.1,1.6,22.4,0,0,4.5,8449074.0
136,Moritz Wagner,ORL ,24,22,5,17,11.3,6.2,2.0,4.4,45.8,1.0,2.8,37.1,1.1,1.5,73.5,0.5,2.0,2.4,0.6,0.8,0.1,0.2,1.8,10.2,0,0,-1.0,1729217.0
137,RJ Barrett,NYK ,21,22,11,11,30.9,14.0,5.1,13.0,39.6,1.6,5.1,31.0,2.1,3.0,70.1,0.6,5.2,5.8,2.1,1.7,0.4,0.3,2.0,24.6,1,0,-2.5,8623920.0
138,Saddiq Bey,DET ,22,22,4,18,32.1,12.3,4.5,13.0,35.1,1.8,6.2,28.7,1.5,2.0,74.4,2.0,4.1,6.1,2.5,1.4,1.0,0.2,1.7,25.5,1,0,-8.5,2824320.0
139,Scottie Barnes,TOR ,20,22,9,13,35.6,15.1,6.1,12.5,48.9,0.7,1.9,35.7,2.1,3.0,72.3,2.9,5.2,8.0,3.2,2.0,1.2,0.8,2.8,33.4,3,0,-1.9,7280520.0
140,Stephen Curry,GSW ,33,22,18,4,34.4,27.5,9.0,20.6,43.7,5.4,13.2,41.0,4.1,4.5,92.9,0.6,5.1,5.7,6.5,3.1,1.8,0.5,1.8,47.8,6,1,12.8,45780966.0
141,Tim Hardaway Jr.,DAL ,29,22,11,11,32.2,14.7,5.0,13.1,38.5,2.5,7.1,35.7,2.0,2.8,72.6,0.4,3.5,3.8,2.3,0.5,1.0,0.1,2.0,25.5,0,0,-2.5,21308816.0
142,Trey Lyles,DET ,26,22,4,18,16.0,7.7,2.5,6.1,41.8,0.8,2.9,28.6,1.8,2.3,78.0,1.3,2.8,4.1,0.8,1.0,0.3,0.2,1.3,14.2,0,0,-1.5,2500000.0
143,Tyrese Haliburton,SAC ,21,22,10,12,33.4,11.8,4.6,10.6,43.2,1.6,4.4,37.5,1.0,1.3,75.0,1.0,2.8,3.8,5.5,1.9,1.8,0.7,1.3,30.1,2,0,-2.0,4023600.0
144,Avery Bradley,LAL ,31,21,10,11,22.3,5.0,1.9,5.0,38.1,1.0,3.0,34.9,0.1,0.1,100.0,0.5,2.0,2.5,0.9,0.6,0.6,0.2,1.4,11.1,0,0,-5.1,1669178.0
145,Bradley Beal,WAS ,28,21,11,10,35.5,21.9,8.4,19.6,42.8,1.6,6.0,26.4,3.6,4.1,86.2,0.9,3.9,4.8,6.0,3.5,0.9,0.3,2.0,36.8,1,0,-0.5,33724200.0
146,Bryn Forbes,SAS ,28,21,8,13,13.7,6.5,2.5,5.2,47.7,1.1,2.8,41.4,0.4,0.5,81.8,0.0,1.1,1.1,0.7,0.9,0.4,0.0,0.8,9.5,0,0,-3.2,4500000.0
147,Caleb Martin,MIA ,26,21,12,9,18.3,6.5,2.5,5.5,45.7,0.6,2.0,30.2,0.8,1.3,60.7,0.8,2.2,3.0,0.9,0.5,0.9,0.5,1.4,15.1,0,0,2.0,1782621.0
148,Cam Reddish,ATL ,22,21,11,10,22.5,11.5,4.0,9.6,41.3,1.6,4.2,38.2,2.0,2.2,89.1,0.9,2.0,2.8,0.9,1.3,1.1,0.2,1.4,18.7,0,0,-2.5,4670160.0
149,D'Angelo Russell,MIN ,25,21,11,10,32.7,19.0,6.6,17.2,38.2,2.9,8.9,32.3,3.0,3.6,82.9,0.5,3.4,3.9,6.4,2.7,0.9,0.8,2.2,35.5,2,0,6.0,30013500.0
150,Daniel Gafford,WAS ,23,21,12,9,20.9,8.8,3.8,5.8,65.3,0.0,0.0,0.0,1.3,1.8,71.1,2.0,4.0,5.9,1.0,1.1,0.6,2.0,2.6,24.0,3,0,-3.3,1782621.0
151,Danilo Gallinari,ATL ,33,21,10,11,21.3,8.9,2.9,7.2,39.7,1.3,3.6,36.8,1.8,2.0,92.7,0.6,3.4,4.0,1.4,0.4,0.5,0.2,1.1,17.2,0,0,-0.6,20475000.0
152,Dejounte Murray,SAS ,25,21,8,13,34.8,19.1,8.0,18.1,44.5,1.3,4.1,32.6,1.7,2.4,70.0,1.0,7.6,8.6,8.2,2.4,2.0,0.4,2.1,46.6,11,3,2.6,15428880.0
153,Derrick White,SAS ,27,21,8,13,31.4,12.7,4.7,11.7,40.0,1.6,5.2,30.0,1.8,2.2,82.6,0.6,2.9,3.5,5.0,1.4,1.2,1.0,2.2,29.6,1,0,-2.0,15178571.0
154,Devin Booker,PHX ,25,21,18,3,32.2,23.2,8.6,18.7,45.8,2.4,5.9,40.3,3.7,4.3,85.7,0.9,4.0,4.9,4.5,2.7,0.9,0.2,2.3,36.6,0,0,5.4,31650600.0
155,Dwight Howard,LAL ,35,21,9,12,14.9,5.2,1.9,2.9,65.0,0.2,0.3,71.4,1.2,2.0,61.9,1.5,3.8,5.3,0.5,1.0,0.9,0.7,1.9,15.8,1,0,-0.1,1669178.0
156,Facundo Campazzo,DEN ,30,21,10,11,18.7,5.9,2.0,4.6,42.7,1.1,3.0,38.7,0.8,1.0,81.0,0.4,1.4,1.8,2.4,1.2,0.9,0.2,1.9,13.8,0,0,-7.1,3200000.0
157,Gabe Vincent,MIA ,25,21,12,9,17.0,6.7,2.4,5.4,45.1,1.3,3.2,39.7,0.5,0.7,78.6,0.5,1.0,1.4,2.1,1.0,0.6,0.0,1.9,12.4,0,0,1.8,1669178.0
158,Giannis Antetokounmpo,MIL ,27,21,14,7,32.7,27.6,9.8,18.4,53.2,1.1,4.1,27.6,6.9,10.2,67.3,1.9,10.0,11.8,6.0,3.2,1.1,1.7,2.9,56.0,13,0,9.6,39344970.0
159,JaMychal Green,DEN ,31,21,10,11,14.9,5.4,2.1,5.0,42.5,0.5,2.3,20.4,0.7,0.9,77.8,1.0,2.5,3.5,0.9,1.2,0.9,0.5,2.3,13.8,0,0,-5.4,8200000.0
160,Jalen Brunson,DAL ,25,21,11,10,29.1,14.7,5.9,12.0,49.0,1.0,3.1,33.8,2.0,2.5,78.8,0.6,3.3,3.9,5.0,1.5,0.8,0.0,2.0,27.9,3,0,1.5,1802057.0
161,Jalen Suggs,ORL ,20,21,4,17,27.7,12.3,4.1,12.2,33.9,1.2,4.9,25.5,2.8,3.6,76.3,0.8,2.6,3.4,3.6,3.2,1.1,0.4,2.8,23.2,0,0,-4.5,6593040.0
162,Jarrett Allen,CLE ,23,21,13,8,33.2,16.9,7.0,10.0,70.3,0.0,0.2,25.0,2.9,4.3,65.9,3.5,7.9,11.3,1.9,2.1,1.0,1.2,1.7,37.8,14,0,3.3,20000000.0
163,Jerami Grant,DET ,27,21,4,17,33.1,20.1,6.6,16.0,41.1,1.8,5.5,33.0,5.2,6.2,83.8,1.0,3.8,4.8,2.5,2.0,1.2,1.0,2.2,34.0,1,0,-7.7,20002500.0
164,John Konchar,MEM ,25,21,13,8,15.0,3.9,1.7,3.0,55.6,0.4,1.1,37.5,0.1,0.4,37.5,1.0,2.7,3.6,1.3,0.5,0.7,0.2,1.1,12.2,0,0,-1.0,2200000.0
165,Jordan Nwora,MIL ,23,21,12,9,17.7,7.0,2.6,6.6,39.6,1.2,3.4,36.1,0.5,0.6,84.6,0.5,2.7,3.2,1.1,1.2,0.2,0.4,1.0,13.4,0,0,-2.0,1517981.0
166,Keldon Johnson,SAS ,22,21,8,13,31.8,14.9,5.8,12.4,46.9,1.2,2.9,41.0,2.1,3.2,65.7,1.1,5.4,6.5,2.0,1.4,1.0,0.2,1.7,27.8,2,0,0.7,2145720.0
167,Kyle Anderson,MEM ,28,21,11,10,21.6,7.9,3.1,7.3,42.9,0.9,2.4,36.0,0.7,0.9,78.9,1.1,4.1,5.2,2.4,1.0,0.9,0.5,1.4,20.8,0,0,-7.2,9937150.0
168,Lonnie Walker IV,SAS ,22,21,8,13,22.6,10.4,3.8,10.1,37.7,1.5,5.2,28.2,1.3,1.6,81.8,0.1,2.9,3.0,2.5,1.3,0.7,0.4,1.4,19.8,0,0,0.3,4447896.0
169,Luguentz Dort,OKC ,22,21,6,15,32.4,16.8,5.8,13.4,43.1,2.3,7.2,32.5,3.0,3.5,84.9,0.7,3.3,4.0,2.0,1.7,0.9,0.3,2.8,26.4,0,0,-8.4,1782621.0
170,Mike Conley,UTA ,34,21,16,5,28.5,14.2,5.1,10.0,51.0,2.7,5.7,47.5,1.3,1.6,84.8,0.3,1.7,2.0,5.4,1.8,1.2,0.3,2.0,27.3,1,0,7.0,21000000.0
171,Nassir Little,POR ,21,21,10,11,22.4,8.3,3.1,6.5,47.8,1.0,3.0,31.7,1.1,1.4,82.8,1.4,3.9,5.3,0.8,0.9,0.8,0.6,2.1,19.1,1,0,-0.8,2316240.0
172,Naz Reid,MIN ,22,21,10,11,16.8,9.2,3.5,7.0,49.3,0.9,2.4,35.3,1.4,1.9,72.5,1.4,2.2,3.6,0.8,0.8,0.5,1.0,2.6,18.3,0,0,-3.7,1782621.0
173,Precious Achiuwa,TOR ,22,21,11,10,26.5,8.0,3.4,8.8,38.6,0.3,1.2,26.9,0.9,1.7,54.3,2.3,5.9,8.2,1.6,1.1,0.5,0.6,2.5,22.4,4,0,0.1,2711280.0
174,Reggie Bullock,DAL ,30,21,10,11,23.1,5.5,2.0,6.0,34.4,1.2,4.3,27.5,0.2,0.4,62.5,0.2,2.6,2.8,0.6,0.7,0.3,0.0,1.5,10.1,0,0,-1.2,9536000.0
175,Richaun Holmes,SAC ,28,21,8,13,27.9,14.5,6.1,8.6,70.7,0.1,0.2,50.0,2.2,2.7,80.7,2.8,6.9,9.6,1.4,1.5,0.3,1.0,3.1,30.5,8,0,-0.8,10384500.0
176,Royce O'Neale,UTA ,28,21,14,7,31.4,8.0,2.9,6.0,48.4,1.6,4.1,39.1,0.6,0.8,70.6,1.0,4.0,5.0,2.2,1.2,1.5,0.7,2.3,22.9,1,0,5.6,8800000.0
177,Seth Curry,PHI ,31,21,11,10,34.0,16.3,6.0,11.6,51.2,2.2,5.2,42.7,2.2,2.4,90.2,0.4,2.4,2.8,2.7,1.6,0.9,0.1,2.4,24.9,0,0,1.9,8207518.0
178,Spencer Dinwiddie,WAS ,28,21,12,9,29.7,13.4,4.6,11.7,39.4,1.9,5.4,34.5,2.3,2.7,87.5,0.7,4.2,4.9,5.2,1.5,0.3,0.2,2.1,27.2,3,0,-2.0,17142857.0
179,Taurean Prince,MIN ,27,21,11,10,15.3,4.2,1.4,4.0,35.7,0.8,2.8,27.6,0.6,0.8,70.6,0.5,1.6,2.1,0.8,0.5,0.4,0.2,1.5,9.2,0,0,-3.5,13000000.0
180,Tomas Satoransky,NOP ,30,21,6,15,15.3,2.8,1.0,3.1,33.8,0.1,0.7,21.4,0.6,0.8,75.0,0.6,1.5,2.1,2.0,0.7,0.3,0.0,1.3,8.7,0,0,-5.0,10000000.0
181,Tyler Herro,MIA ,21,21,12,9,33.7,21.2,8.0,18.3,44.0,2.8,7.1,39.3,2.3,2.7,86.0,0.8,4.8,5.6,3.8,2.9,0.6,0.0,1.4,32.8,1,0,2.3,4004280.0
182,Al Horford,BOS ,35,20,11,9,29.1,12.8,4.7,10.1,46.5,1.4,4.4,31.0,2.1,2.4,85.4,1.6,6.6,8.2,3.5,1.2,0.8,1.8,2.4,34.2,8,0,-1.7,27000000.0
183,Bogdan Bogdanovic,ATL ,29,20,11,9,28.2,11.6,4.5,10.0,44.7,2.2,5.5,39.1,0.6,0.7,78.6,0.4,3.2,3.6,2.5,0.9,0.7,0.2,1.9,21.2,0,0,2.8,18000000.0
184,Bruce Brown,BKN ,25,20,13,7,23.1,6.7,3.0,6.6,45.0,0.4,1.2,30.4,0.5,0.7,69.2,1.2,3.0,4.2,1.1,0.7,1.3,0.5,2.4,18.1,0,0,-2.6,4736102.0
185,Damian Lillard,POR ,31,20,10,10,35.7,21.5,7.3,18.4,39.7,2.8,9.1,30.2,4.1,4.5,91.1,0.4,3.6,4.0,7.8,2.6,0.7,0.4,1.4,38.4,6,0,1.6,39344900.0
186,De'Anthony Melton,MEM ,23,20,12,8,24.8,10.5,4.0,9.8,41.0,1.9,5.1,36.3,0.7,1.0,65.0,0.9,3.4,4.2,2.4,1.7,1.6,0.7,1.6,24.2,0,0,1.0,8805976.0
187,DeAndre Jordan,LAL ,33,20,11,9,13.8,4.8,2.3,3.2,70.3,0.0,0.0,0.0,0.3,0.5,60.0,1.7,4.3,6.0,0.4,0.8,0.4,0.9,1.8,15.4,0,0,-2.2,1669178.0
188,Derrick Jones Jr.,CHI ,24,20,13,7,17.5,6.6,2.5,4.0,61.3,0.3,0.9,33.3,1.4,1.6,84.4,1.3,2.1,3.4,0.6,0.5,0.6,1.0,2.3,15.5,0,0,2.0,9720900.0
189,Derrick Rose,NYK ,33,20,9,11,23.7,12.4,4.8,10.5,45.9,1.5,3.7,39.2,1.3,1.4,96.3,0.8,2.2,2.9,3.8,1.6,0.9,0.6,0.7,24.3,0,0,5.4,13445120.0
190,Drew Eubanks,SAS ,24,20,7,13,14.7,5.8,2.1,4.0,51.3,0.0,0.2,0.0,1.7,2.1,78.6,1.2,3.3,4.5,1.5,1.3,0.4,0.9,1.6,15.8,1,0,-2.0,1762796.0
191,Eric Gordon,HOU ,32,20,7,13,29.7,14.1,5.0,10.7,46.7,2.3,5.3,43.4,1.8,2.5,71.4,0.2,1.8,1.9,2.8,2.4,0.6,0.6,1.0,21.7,0,0,-2.7,18218818.0
192,Evan Mobley,CLE ,20,20,13,7,34.0,14.1,5.6,11.8,47.0,0.7,1.9,34.2,2.3,3.0,78.0,1.8,6.5,8.3,2.7,1.8,0.9,1.9,2.1,34.6,6,0,3.3,8075160.0
193,Gorgui Dieng,ATL ,31,20,10,10,8.2,2.3,0.8,2.1,39.0,0.2,0.9,23.5,0.5,0.7,64.3,1.0,2.4,3.4,0.7,0.6,0.3,0.3,1.2,8.3,0,0,0.5,4000000.0
194,Isaiah Stewart,DET ,20,20,4,16,25.1,7.7,3.4,6.3,54.4,0.1,0.6,9.1,0.8,1.2,69.6,2.5,5.5,8.0,1.1,1.1,0.4,1.2,2.5,22.3,2,0,-7.4,3277080.0
195,Jaden McDaniels,MIN ,21,20,10,10,25.3,6.2,2.6,6.2,41.5,0.7,2.7,26.4,0.4,0.6,63.6,1.6,2.9,4.5,0.9,1.0,1.0,0.6,3.8,16.5,0,0,0.4,2063280.0
196,Josh Giddey,OKC ,19,20,6,14,29.4,10.4,4.3,11.0,39.1,0.9,3.5,25.7,0.9,1.3,65.4,1.6,5.6,7.2,5.8,2.8,1.0,0.7,1.8,29.8,3,0,-7.6,5988000.0
197,Malcolm Brogdon,IND ,28,20,7,13,35.5,20.7,7.4,16.3,45.2,2.0,6.2,31.5,4.0,4.6,87.0,1.0,4.8,5.8,6.1,2.4,0.9,0.6,2.1,38.5,4,1,2.1,21700000.0
198,Mason Plumlee,CHA ,31,20,12,8,26.1,6.8,3.0,5.0,59.6,0.0,0.0,0.0,0.9,2.6,34.6,2.6,4.7,7.3,2.8,1.2,0.9,1.0,3.0,24.0,3,0,-0.5,9248333.0
199,Mitchell Robinson,NYK ,23,20,9,11,25.4,6.9,2.8,3.7,75.7,0.0,0.0,0.0,1.3,2.1,59.5,3.1,4.7,7.7,0.8,0.6,0.4,1.7,2.8,22.9,3,0,-3.8,1802057.0
200,Nick Richards,CHA ,24,20,11,9,8.5,3.2,1.3,2.0,66.7,0.0,0.0,0.0,0.6,0.7,78.6,0.9,1.1,2.0,0.2,0.6,0.2,0.7,1.5,7.8,0,0,-2.6,1517981.0
201,Norman Powell,POR ,28,20,9,11,29.0,16.4,5.6,11.6,48.1,1.9,4.4,43.2,3.4,4.2,81.9,0.4,2.1,2.4,1.7,1.1,0.9,0.4,2.0,24.5,0,0,-0.9,15517241.0
202,Otto Porter Jr.,GSW ,28,20,17,3,19.0,7.5,2.6,5.6,46.4,1.7,4.0,42.5,0.6,0.8,75.0,0.8,4.0,4.8,1.1,0.7,0.9,0.4,1.4,18.0,1,0,6.0,1669178.0
203,Sterling Brown,DAL ,26,20,10,10,12.8,3.0,1.1,3.1,35.5,0.6,2.0,27.5,0.2,0.2,100.0,0.7,2.5,3.2,0.8,0.7,0.5,0.1,1.2,8.9,0,0,0.3,3000000.0
204,Thanasis Antetokounmpo,MIL ,29,20,11,9,12.8,3.5,1.5,3.1,48.4,0.0,0.3,0.0,0.5,0.9,58.8,1.1,2.1,3.2,0.8,0.7,0.5,0.2,1.8,9.9,0,0,-3.3,1669178.0
205,Will Barton,DEN ,30,20,10,10,33.3,15.9,6.2,13.7,44.9,2.5,6.5,38.5,1.1,1.6,71.0,0.6,4.7,5.3,4.3,1.7,0.9,0.4,1.3,30.9,0,0,1.9,15625000.0
206,Aaron Nesmith,BOS ,22,19,10,9,9.8,2.8,1.0,3.0,33.3,0.6,2.2,26.2,0.2,0.2,100.0,0.3,1.3,1.6,0.4,0.4,0.3,0.0,1.3,5.7,0,0,-2.4,3631200.0
207,Armoni Brooks,HOU ,23,19,7,12,13.0,5.3,1.8,4.9,36.2,1.4,4.1,33.3,0.4,0.4,87.5,0.3,1.2,1.4,0.7,0.2,0.6,0.2,1.3,10.3,0,0,3.2,1489065.0
209,Brandon Clarke,MEM ,25,19,9,10,16.0,7.7,3.4,5.5,61.0,0.1,0.6,9.1,0.9,1.4,66.7,1.7,2.6,4.4,1.4,0.4,0.4,0.9,1.7,18.4,0,0,0.2,2726880.0
210,Brandon Ingram,NOP ,24,19,7,12,34.7,22.9,8.5,19.2,44.4,1.8,4.9,36.6,4.1,4.8,84.6,0.9,5.3,6.2,4.7,3.1,0.4,0.4,2.1,36.5,2,0,-3.5,29467800.0
211,D.J. Augustin,HOU ,34,19,5,14,12.5,4.2,1.3,3.1,40.7,0.9,2.2,40.5,0.8,0.9,88.2,0.1,0.8,0.9,2.1,1.1,0.2,0.0,0.6,8.0,0,0,-3.2,7000000.0
212,Eric Paschall,UTA ,25,19,14,5,12.1,3.7,1.3,3.0,42.1,0.5,1.9,27.8,0.6,0.9,70.6,0.7,1.3,2.0,0.7,0.5,0.1,0.2,0.8,7.5,0,0,-0.5,1782621.0
213,Harrison Barnes,SAC ,29,19,7,12,35.0,19.0,5.8,12.1,47.8,1.9,4.9,39.8,5.5,6.5,84.6,1.4,5.8,7.2,2.4,2.1,1.0,0.2,1.4,32.6,4,0,-3.4,20284091.0
214,Ja Morant,MEM ,22,19,9,10,32.6,24.1,8.9,18.8,47.6,1.6,4.6,35.6,4.6,5.9,77.7,1.3,4.3,5.6,6.8,3.2,1.6,0.3,1.3,43.4,4,0,-4.4,9603360.0
215,Jaxson Hayes,NOP ,21,19,3,16,12.2,5.9,2.1,4.1,51.9,0.2,0.6,36.4,1.5,1.9,75.7,1.3,2.0,3.3,0.3,0.6,0.3,0.6,1.6,12.3,0,0,-2.3,5348280.0
216,Josh Hart,NOP ,26,19,5,14,30.1,11.1,4.1,8.4,48.8,0.8,2.4,32.6,2.1,2.4,84.8,1.0,5.3,6.3,3.8,1.4,0.9,0.4,2.8,26.9,2,0,-3.8,12000000.0
217,Josh Jackson,DET ,24,19,3,16,19.0,7.3,2.6,6.5,40.7,0.8,3.0,28.1,1.2,1.7,69.7,0.6,2.9,3.5,1.7,1.2,0.4,0.5,1.7,15.6,0,0,-5.1,5005350.0
218,Kenrich Williams,OKC ,27,19,6,13,20.2,6.8,2.6,5.8,45.0,0.7,2.1,33.3,0.8,1.5,57.1,1.1,2.5,3.5,1.7,0.8,0.7,0.2,1.7,15.4,0,0,-0.7,2000000.0
219,Kevin Porter Jr.,HOU ,21,19,6,13,30.2,12.8,4.4,12.2,35.8,1.8,5.8,30.9,2.3,3.7,62.9,0.8,3.6,4.4,5.8,4.0,1.3,0.3,2.3,27.7,3,0,-3.1,1782621.0
220,Lou Williams,ATL ,35,19,10,9,13.4,6.4,2.3,6.1,37.9,0.6,1.8,35.3,1.2,1.4,84.6,0.3,1.2,1.5,1.4,0.9,0.6,0.1,0.8,11.5,0,0,0.1,5000000.0
221,Payton Pritchard,BOS ,23,19,11,8,9.3,2.6,0.8,3.1,27.1,0.6,2.1,30.0,0.3,0.3,100.0,0.3,0.8,1.2,1.2,0.6,0.1,0.1,0.8,5.6,0,0,-1.6,2137440.0
222,Shai Gilgeous-Alexander,OKC ,23,19,6,13,34.9,21.2,7.4,17.9,41.1,2.1,6.8,30.0,4.4,5.6,78.5,0.6,4.5,5.1,4.5,2.4,1.1,0.6,2.1,36.5,0,0,-5.2,5495532.0
223,Terry Rozier,CHA ,27,19,10,9,32.9,17.7,6.5,15.2,42.9,2.6,7.4,35.0,2.1,2.4,87.0,0.6,2.9,3.5,3.6,1.4,1.3,0.5,1.4,31.5,0,0,-1.3,17905263.0
224,Tre Jones,SAS ,21,19,8,11,9.8,3.8,1.7,3.2,52.5,0.0,0.2,0.0,0.5,0.5,100.0,0.1,1.1,1.1,1.4,0.6,0.3,0.0,0.7,7.5,0,0,-0.3,1517981.0
225,Ty Jerome,OKC ,24,19,6,13,14.3,7.2,2.4,6.1,40.0,1.1,3.4,30.8,1.3,1.5,82.8,0.3,0.9,1.2,1.2,0.5,0.7,0.1,1.3,12.4,0,0,-0.9,2412840.0
226,Austin Rivers,DEN ,29,18,10,8,17.5,3.9,1.5,4.3,34.6,0.7,2.7,27.1,0.2,0.3,50.0,0.4,1.1,1.4,0.8,0.6,0.5,0.1,1.2,8.1,0,0,-2.8,1669178.0
227,Bam Adebayo,MIA ,24,18,10,8,32.9,18.7,7.0,13.5,51.9,0.0,0.1,0.0,4.7,6.2,75.9,2.7,7.4,10.2,3.2,2.9,1.1,0.3,3.3,37.1,9,0,1.6,28103500.0
228,Cameron Payne,PHX ,27,18,16,2,18.2,9.8,3.4,9.2,37.6,1.1,3.5,31.7,1.8,2.2,82.5,0.4,2.4,2.8,2.9,1.7,0.6,0.3,1.7,18.6,0,0,0.7,6500000.0
229,Cedi Osman,CLE ,26,18,10,8,22.1,11.6,4.1,8.6,47.4,2.5,5.8,42.9,1.0,1.4,69.2,0.3,2.7,3.0,1.7,0.9,0.8,0.2,1.6,19.9,0,0,0.9,8133334.0
230,Chuma Okeke,ORL ,23,18,4,14,21.1,7.1,2.6,6.8,38.5,0.7,3.1,23.2,1.1,1.3,87.0,0.7,3.6,4.2,1.2,0.8,0.7,0.2,1.3,15.7,0,0,-7.2,3277080.0
231,Cole Anthony,ORL ,21,18,5,13,34.4,20.2,7.1,16.6,42.6,2.7,7.6,35.8,3.4,3.9,87.1,0.5,6.1,6.6,6.0,2.9,1.0,0.2,2.6,37.8,4,0,-0.4,3449400.0
232,Devin Vassell,SAS ,21,18,5,13,25.0,11.6,4.4,9.5,46.8,1.8,4.7,38.8,0.9,1.2,72.7,0.5,3.2,3.7,1.4,0.7,1.2,0.7,2.0,22.9,0,0,-0.1,4235160.0
233,Gary Harris,ORL ,27,18,3,15,25.2,7.0,2.8,7.2,39.5,0.8,3.2,25.9,0.5,0.7,75.0,0.8,1.3,2.1,1.7,1.0,0.7,0.1,1.8,13.6,0,0,-7.5,20482143.0
234,Ish Smith,CHA ,33,18,10,8,13.6,4.8,2.2,5.3,41.7,0.2,0.3,50.0,0.2,0.4,37.5,0.1,1.2,1.3,2.4,0.9,0.4,0.2,0.7,11.1,0,0,-3.2,4500000.0
235,Jalen Green,HOU ,19,18,2,16,30.8,14.0,4.8,12.7,38.2,1.8,6.4,27.8,2.6,3.2,80.7,0.4,2.7,3.1,2.3,2.7,0.6,0.2,1.6,21.0,0,0,-13.8,8992200.0
236,Jeremy Lamb,IND ,29,18,5,13,13.6,7.2,2.2,5.6,39.6,1.2,3.0,38.9,1.6,1.6,100.0,0.3,2.3,2.7,1.1,0.4,0.4,0.4,1.1,14.1,0,0,0.2,10500000.0
237,Josh Richardson,BOS ,28,18,11,7,24.5,9.2,3.4,7.4,46.6,1.1,3.1,34.5,1.2,1.4,84.6,0.6,2.3,2.8,1.3,0.7,0.6,0.5,1.9,17.1,0,0,1.8,11615328.0
238,Jrue Holiday,MIL ,31,18,13,5,31.4,15.3,6.2,14.1,43.9,1.8,5.1,34.8,1.2,1.8,65.6,0.7,3.9,4.7,6.1,2.6,1.3,0.5,2.1,32.8,1,0,9.0,32413333.0
239,Kelan Martin,IND ,26,18,8,10,16.7,6.8,2.8,6.8,41.8,0.8,2.9,26.9,0.4,0.6,63.6,0.6,1.2,1.8,0.9,0.6,0.5,0.3,1.3,12.3,0,0,-1.9,1701593.0
240,Kemba Walker,NYK ,31,18,10,8,24.5,11.7,4.2,9.8,42.9,2.1,5.1,41.3,1.1,1.4,80.0,0.1,2.4,2.6,3.1,1.3,1.1,0.3,1.1,22.0,0,0,-6.8,8729020.0
241,Luka Doncic,DAL ,22,18,11,7,34.7,25.4,9.4,21.2,44.5,2.7,8.1,32.9,3.8,5.7,67.6,0.8,7.3,8.1,8.5,4.6,1.1,0.6,2.4,48.2,12,2,-5.1,10174391.0
242,Naji Marshall,NOP ,23,18,4,14,11.5,3.7,1.1,3.3,32.2,0.2,1.3,13.0,1.4,1.6,86.2,0.7,2.2,2.9,1.1,1.0,0.4,0.2,1.1,9.7,0,0,-2.2,1517981.0
243,P.J. Dozier,DEN ,25,18,9,9,18.9,5.4,2.0,5.5,36.4,0.8,2.7,31.3,0.6,0.7,76.9,0.8,2.7,3.5,1.6,0.7,0.6,0.3,1.8,14.1,0,0,-5.0,1910860.0
244,Paul Millsap,BKN ,36,18,12,6,11.4,3.4,1.2,3.3,36.7,0.3,1.3,26.1,0.7,0.9,70.6,1.1,2.6,3.6,0.9,0.4,0.2,0.4,2.2,10.5,0,0,0.6,1669178.0
245,Romeo Langford,BOS ,22,18,9,9,18.6,4.8,1.8,4.4,40.5,0.8,2.0,41.7,0.4,0.6,72.7,0.9,2.2,3.1,0.5,0.6,0.4,0.1,1.3,10.4,0,0,0.1,3804360.0
246,Shake Milton,PHI ,25,18,10,8,25.0,11.5,4.5,10.0,45.0,0.8,2.9,28.8,1.7,1.9,88.2,0.6,2.4,3.0,2.9,1.1,0.7,0.4,1.9,21.7,0,0,-2.0,1846738.0
247,Thaddeus Young,SAS ,33,18,7,11,15.5,6.9,3.3,5.6,59.0,0.0,0.1,0.0,0.4,0.9,43.8,1.6,2.1,3.7,2.6,1.2,1.0,0.3,1.4,18.1,0,0,0.7,14190000.0
